Country,HDIIndex,2018Dependency,2018UrbanPop,2018MeanYrSchool,2016CO2PerCap,2018 Life Expectancy,2017InternetUsersPct,2017PctBasicDrinking,2018Unemployment
Norway,1,26.1,82.2,12.6,6.8,82.3,96.4,100,3.9
Switzerland,2,28,73.8,13.4,4.5,83.6,89.7,100,4.9
Ireland,3,21.4,63.2,12.5,7.9,82.1,84.1,97,5.7
Germany,4,33.1,77.3,14.1,8.9,81.2,84.4,100,3.4
Hong Kong,4,23.7,100,12,6.2,84.7,89.4,100,2.8
Australia,6,24,86,12.7,16.2,83.3,86.5,100,5.4
Iceland,6,22.6,93.8,12.5,6.2,82.9,98.3,100,2.9
Sweden,8,32.2,87.4,12.4,3.9,82.7,95.5,100,6.4
Singapore,9,15,100,11.5,8,83.5,84.5,100,3.8
Netherlands,10,29.7,91.5,12.2,9.3,82.1,93.2,100,3.9
Denmark,11,31.1,87.9,12.6,5.9,80.8,97.1,100,5
Finland,12,35,85.4,12.4,8.3,81.7,87.5,100,7.8
Canada,13,25.8,81.4,13.3,14.9,82.3,91,99,5.9
New Zealand,14,24.2,86.5,12.7,6.5,82.1,90.8,100,4.5
United Kingdom,15,28.8,83.4,13,5.6,81.2,94.6,100,4
United States,15,24.1,82.3,13.4,15,78.9,87.3,99,3.9
Belgium,17,29.3,98,11.8,8.1,81.5,87.7,100,6.3
Japan,19,46.2,91.6,12.8,9,84.5,84.6,99,2.5
Austria,20,28.5,58.3,12.6,7.2,81.4,87.9,100,4.8
Luxembourg,21,20.3,91,12.2,14.6,82.1,97.4,100,5.5
Israel,22,19.9,92.4,13,7.9,82.8,81.6,100,4
South Korea,22,19.9,81.5,12.2,11.6,82.8,95.1,100,3.8
Slovenia,24,30,54.5,12.3,6.5,81.2,78.9,100,5.5
Spain,25,29.4,80.3,9.8,5.1,83.4,84.6,100,15.5
Czechia,26,29.9,73.8,12.7,9.5,79.2,78.7,100,2.4
France,26,32.3,80.4,11.4,4.5,82.5,80.5,100,9.2
Malta,28,31.1,94.6,11.3,3.1,82.4,81,100,4.6
Italy,29,35.6,70.4,10.2,5.4,83.4,63.1,99,10.2
Estonia,30,30.7,68.9,13,12.4,78.6,88.1,100,5.5
Cyprus,31,19.7,66.8,12.1,5.4,80.8,80.7,100,8.1
Greece,32,33.7,79.1,10.5,5.9,82.1,70.5,100,19.2
Poland,32,26,60.1,12.3,7.7,78.5,76,100,3.7
Lithuania,34,30.1,67.7,13,3.7,75.7,77.6,98,6
United Arab Emirates,35,1.3,86.5,11,20.5,77.8,94.8,98,2.6
Saudi Arabia,36,4.6,83.8,9.7,16.3,75,82.1,100,5.9
Slovakia,36,22.7,53.7,12.6,5.6,77.4,81.6,100,6.8
Latvia,39,31.3,68.1,12.8,3.4,75.2,80.1,99,7.9
Portugal,40,34,65.2,9.2,4.6,81.9,73.8,100,6.9
Qatar,41,1.6,99.1,9.7,29.8,80.1,97.4,100,0.1
Chile,42,16.8,87.6,10.4,4.7,80,82.3,100,7.2
Brunei Darussalam,43,6.8,77.6,9.1,15.1,75.7,94.9,100,9.2
Hungary,43,28.8,71.4,11.9,4.5,76.7,76.8,100,3.7
Bahrain,45,3.1,89.3,9.4,20.8,77.2,95.9,100,1
Croatia,46,31.4,56.9,11.4,3.8,78.3,67.1,100,8.9
Oman,47,3.2,84.5,9.7,14.1,77.6,80.2,92,3.1
Russian Federation,49,21.8,74.4,12,9.9,72.4,76,97,4.7
Belarus,50,21.7,78.6,12.3,5.6,74.6,74.4,96,5.7
Kazakhstan,50,11.5,57.4,11.8,12.9,73.2,76.4,96,4.9
Bulgaria,52,32.7,75,11.8,5.7,74.9,63.4,99,5.3
Montenegro,52,22.4,66.8,11.4,3.4,76.8,71.3,97,15.5
Romania,52,27.7,54,11,3.4,75.9,63.7,100,4.3
Kuwait,57,3.4,100,7.3,22.8,75.4,100,100,2.1
Uruguay,57,22.9,95.3,8.7,1.8,77.8,68.3,99,8
Turkey,59,12.7,75.1,7.7,4.2,77.4,64.7,99,10.9
Malaysia,61,9.6,76,10.2,7,76,80.1,97,3.4
Serbia,63,27.8,56.1,11.2,5.1,75.8,70.3,86,13.5
Trinidad and Tobago,63,15.6,53.2,11,15.3,73.4,77.3,98,2.8
Iran,65,8.9,74.9,10,7.1,76.5,64,95,12
Mauritius,66,16.2,40.8,9.4,3.2,74.9,55.4,100,6.9
Panama,67,12.5,67.7,10.2,2.5,78.3,57.9,96,3.9
Costa Rica,68,13.8,79.3,8.7,1.5,80.1,71.4,100,8.1
Albania,69,20,60.3,10.1,1.3,78.5,71.8,91,13.9
Georgia,70,22.8,58.6,12.8,2.2,73.6,59.7,98,14.1
Sri Lanka,71,16,18.5,11.1,1,76.8,34.1,89,4.4
Cuba,72,22.1,77,11.8,2.1,78.7,57.1,95,2.3
Bosnia,75,24,48.2,9.7,6.5,77.3,64.9,96,20.8
Mexico,76,10.9,80.2,8.6,3.6,75,63.9,99,3.3
Thailand,77,16.8,49.9,7.7,3.5,76.9,52.9,100,0.7
Brazil,79,12.8,86.6,7.8,2,75.7,67.5,98,12.5
Colombia,79,12.4,80.8,8.3,1.8,77.1,62.3,97,9.1
Armenia,81,16.5,63.1,11.8,1.7,74.9,64.7,100,17.7
Algeria,82,10,72.6,8,3.1,76.7,47.7,94,12.2
North Macedonia,82,19.6,58,9.7,3.3,75.7,74.5,93,21.6
Peru,82,12.2,77.9,9.2,1.7,76.5,48.7,91,2.8
China,85,15.3,59.2,7.9,6.4,76.7,54.3,93,4.4
Ecuador,85,11,63.8,9,2.1,76.8,57.3,94,3.9
Azerbaijan,87,8.8,55.7,10.5,3.2,72.9,79,91,5.2
Ukraine,88,24.3,69.4,11.3,4.4,72,58.9,94,9.4
Dominican Republic,89,10.9,81.1,7.9,2.2,73.9,67.6,97,5.8
Tunisia,91,12.3,68.9,7.2,2.2,76.5,64.2,96,15.5
Mongolia,92,6.2,68.4,10.2,5.9,69.7,23.7,83,6.3
Lebanon,93,10.5,88.6,8.7,3.5,78.9,78.2,93,6.2
Botswana,94,6.8,69.4,9.3,3.2,69.3,47,90,17.9
Jamaica,96,13,55.7,9.8,2.5,74.4,55.1,91,9.5
Venezuela,96,11.2,88.2,10.3,4.3,72.1,72,96,8.4
Paraguay,98,10,61.6,8.4,0.9,74.1,61.1,100,4.7
Suriname,98,10.5,66.1,9.1,3.4,71.6,48.9,95,7.6
Jordan,102,6.2,91,10.5,2.5,74.4,66.8,99,15
Philippines,106,8,46.9,9.4,1.1,71.1,60.1,94,2.5
Moldova,107,15.8,42.6,11.6,1.9,71.8,76.1,89,3.4
Turkmenistan,108,6.8,51.6,9.8,12.2,68.1,21.3,99,3.8
Uzbekistan,108,6.6,50.5,11.5,2.7,71.6,52.3,98,5.2
Libya,110,6.5,80.1,7.6,6.7,72.7,21.8,99,17.3
Indonesia,111,8.7,55.3,8,1.7,71.5,32.3,89,4.3
South Africa,113,8.1,66.4,10.2,7.4,63.9,56.2,93,27
Bolivia,114,11.7,69.4,9,1.8,71.2,43.8,93,3.3
Gabon,115,6,89.4,8.3,1.7,66.2,62,86,19.5
Egypt,116,8.6,42.7,7.3,2.2,71.8,45,99,11.4
Viet Nam,118,10.5,35.9,8.2,2,75.3,58.1,95,1.9
Iraq,120,5.7,70.5,7.3,3.8,70.5,49.4,97,7.9
Morocco,121,10.7,62.5,5.5,1.6,76.5,61.8,87,9
Kyrgyzstan,122,7.1,36.4,10.9,1.5,71.3,38,87,7.2
El Salvador,124,12.8,72,6.9,1.1,73.1,33.8,97,4.4
Tajikistan,125,5,27.1,10.7,0.6,70.9,22,81,10.9
Guatemala,126,7.9,51.1,6.5,1,74.1,65,94,2.7
Nicaragua,126,8.1,58.5,6.8,0.8,74.3,27.9,82,4.5
India,129,9.3,34,6.5,1.6,69.4,34.5,93,2.6
Namibia,130,6.1,50,6.9,1.7,63.4,51,83,23.1
Honduras,132,7.4,57.1,6.6,1,75.1,31.7,95,4.1
Bangladesh,135,7.7,36.6,6.1,0.5,72.3,15,97,4.3
Congo,138,4.8,66.9,6.5,0.5,64.3,8.7,73,10.4
Ghana,142,5.2,56.1,7.2,0.4,63.8,39,81,6.7
Myanmar,145,8.5,30.6,5,0.4,66.9,30.7,82,1.6
Cambodia,146,7.1,23.4,4.8,0.6,69.6,32.4,79,1.1
Kenya,147,4,27,6.6,0.3,66.3,17.8,59,9.3
Angola,149,4.3,65.5,5.1,0.7,60.8,14.3,56,7.3
Cameroon,150,5,56.4,6.3,0.3,58.9,23.2,60,3.4
Zimbabwe,150,5.4,32.2,8.3,0.7,61.2,27.1,64,4.9
Pakistan,152,7.1,36.7,5.2,0.8,67.1,15.5,91,3
Syrian Arab Republic,154,7,54.2,5.1,1.5,71.8,34.3,97,8.1
Nigeria,158,5.1,50.3,6.5,0.5,54.3,42,71,6
Tanzania,159,4.9,33.8,6,0.2,65,25,57,1.9
Benin,163,6,47.3,3.8,0.5,61.5,20,66,2.1
Ivory Coast,165,5.2,50.8,5.2,0.4,57.4,43.8,73,2.5
Senegal,166,5.7,47.2,3.1,0.5,67.7,46,81,6.5
Togo,167,5.1,41.7,5,0.3,60.8,12.4,65,1.7
Sudan,168,6.4,34.6,3.7,0.5,65.1,30.9,60,12.9
Haiti,169,8,55.3,5.4,0.3,63.7,12.3,65,13.5
Ethiopia,173,6.3,20.8,2.8,0.1,66.2,18.6,41,1.8
Yemen,177,5,36.6,3.2,0.3,66.1,26.7,63,12.9
Congo,179,5.9,44.5,6.8,0,60.4,8.6,43,4.2
Mozambique,180,5.5,36,3.5,0.3,60.2,10,56,3.2
South Sudan,186,6.2,19.6,4.8,0.2,57.6,8,41,12.7
Niger,189,5.5,16.4,2,0.1,62,10.2,50,0.3
